در حالی که پیشانیش له شده فرو رفته بود.	with his forehead crushed in.	0.19261793706790364
حالا این یکی قوز بالای قوز را ببین که دم گاو مرا برداشته	then, all because of him, came the other gentleman and carried off my tail	0.18644749486703469
دوباره از پنجره به بیرون نگاه کرد.	then gazed out of the window again.	0.1854782983933702
آنگاه درباره زیبایی شگرف آن روز سخنانی بر زبان آورد.	proceeding to remark on the rare beauty of the day.	0.18522442054876212
بنابراین وجدانم راحت است. به حضور والاحضرت رفتم.	so my conscience was at ease. I came forward. .	0.18377685634175564
به فاصله سه گز از چشمان خود نگاه داشت.	brought me within three yards of his eyes.	0.18260157343255123
چشمان خویش را چنان به من دوخته بود که گویی خیال سوزاندن مرا دارد.	 bent his eyes upon me, as if he would have burnt me up with them.	0.1823151802981621
پشت سر خود به رختخوابی که آن را ترک گفته بودم نگاه کردم.	I looked back at the bed I had left.	0.18145067559828637
به طوری که قهوه از فنجان لب پر زد و ریخت.	so that he spilled his coffee.	0.18142271415423727
شمع را فوت کردم و میان بستر جستم و خودم را به توجه الهی سپردم.	then blowing out the light tumbled into bed, and commended myself to the care of heaven.	0.18104793278066728
اما به محض اینکه از در خارج شدم قهقههٔ خنده را سر دادم.	but I went away and roared with laughter.	0.18095997435235023
من سرم را تکان دادم و چرخیدم تا از او دور شوم.	I shook my head and turned away.	0.18092405303689718
سپس برخاست و با شتاب راه خود گرفت.	then got up and hurried away.	0.18028647326141475
اکنون بی آنکه فکر دیگری به ذهنش برسد مات و مبهوت خشکش زده بود.	now stood thereunable for the moment to think of anything more to say.	0.1784252801781808
سپس شروع به گاز گرفتن و دریدن دیگران کرده	then fell to biting and tearing the rest	0.17769781914388455
بعد آن را زیر پیراهن پشمی ملوانی خود پنهان کرد	then, hastily concealing it in the bosom of his jacket	0.17769554396735512
امشب برای کشتن وقت مشغول خواندن کتابی شدم	I was reading a book to night, to wile the time away	0.177665438962244
از آن حتی یک حرف به گوش دختر جوان نرسیده بود.	not a word of it had reached the young lady's ears.	0.1772273276609728
با این غنیمت به عجله راه بازگشت را در پیش گرفتم.	with this booty I made a hasty retreat.	0.17718747468761545
بدون سر و صدا فوراً از در ورودی به طرف راست پیچید	at once slipped unnoticed through the door on the right	0.1771401268233121
با کمک کس دیگری بار را روی زمین گذارد.	with the help of another man laid his burden down.	0.17685437845346594
از اینکه در محضر آسمان جاه شماست با حالی پریشان و منقلب رنگ از رخش پریده و نفسش بند آمده است به نظر عنایت و مرحمت بنگرید و او را با مهر و شفقت به حضور بپذیرید.	quite stupefied and benumbed at finding himself in your magnificent presence.	0.17677554820514024
تصمیم داشت جریان را برای شما تعریف کند ولی در ماند رلی نبودید.	then when she came down that night she was going to have told you all about it.	0.1763474265274939
