source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in a situation like this for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	fenders battered and hammered back.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't need to get involved in anything like this.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	He insisted he stay in the same attitude of close observation.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He picked the paper up.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	this gentleman may be lost forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I was spared the humiliation.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was really starting to understand.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	He was sober and sober.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I rose as soon as day dawned.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	so long since everything and everything he had been born have been his instruments.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I closed it, and made a pretext to go down.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	that the golden egg, still in the gold, slipped from under his arm.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I did feel a little carried away.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I may live a quiet shelter away from all the anxieties of my life.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the majority of the young women in the district were forced to wear loose pants for the rest of their lives.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	what the ornamentation was to do.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he was suspended for a while after paying for the animal's support.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I ought to be alone with this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	he seemed to you to say goodbye.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but his natural sanctity was so late.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've got all my faculties as well as ever I had in my life.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	'Cause they're sick of the sight of themselves.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	He was forced to wear loose pants for the rest of his life.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that I was one year old.
په دهۊنمه واز نکردم	I kept my mouth shut.	I have argued it.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still waiting for him to leave.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood very well that it was a key to success.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	Come on, I'll get your coat.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one dared to do it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or that he would not forgive her his disgrace.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he was delayed an hour until the tide subsided slightly
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	that was much earlier than he had done then.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	It was a busy end.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	the chances that may come to me on the way.
مجالشه که دی بکشی کنار	it's time for you to step aside.	Time to get out of this again.
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible with that wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I'm sure that it was the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	the moment he had forgotten that he had been drenched in the potion
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	Who gave the least sign of her activity, and who gave it to me.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	Apparently with an official smile.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	the secret of our paternity lies in their grave.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I thought he was all dated up.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but he realized that all his sins were touched.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly, he's back in position.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	but he had some other feelings towards women than towards grouse and foxes
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	for what we have to do now is urgent.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that he had neglected to testify.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	'Cause he can't make a decision about what he's going to do.
ز حالس ناراضی نبی	her mind had no distaste for her own set	he was not displeased with her.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	Everybody was happy.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	there was no longer any old-fashioned firmness in the earth and sometimes in time.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But he's in the middle of the road.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	'Cause they're going to have to deal with this unexpected circumstance.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	for, going into the future, I shall have to teach her first how to study
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I got promoted, and got promoted.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	still six steps away from him
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	he wrote steadily for three minutes
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I imagined it was a pity for him that I am in earnest at last
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	From the top of the staircase, he walked into the room.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though he had never had the heart to say any thing about
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	he hired a lawyer to improve his conduct.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	I don't need to get out of this anyway.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	the chances that may come to him on the way.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I was, perhaps, not following her round, and finding it impossible for me to do
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	bent over the body, and the rope that tied the girl to the coat was about to hit her.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I was never meant to meet him again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to tell him what he was telling you.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	I was always thinking about wasting my time and attention.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to get out of this again.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I thought someone was gonna bother you.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	I took care of my children and used them to do something useful
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	He gave the office to prepare for me the best supper that was in his power.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	got your feet together.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	He had to stop and embrace the dance song with the same unperturbed keenness of eye and the same high natural color.
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I also wanted to do my magictrick back.
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	stairs without any scene from which she did not return with the same unperturbed keenness of eye and the same high natural color.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	he rose as soon as his father came in, so that he could sit down.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	you were telling me how to do something useful
