چهار ساعت با این وضع به سر بردم	I was four hours under these circumstances
نیم تنه و شلوار شطرنجی پوشیده بود.	in plaid frock and trousers.
حتی امکان این تصمیم باشکوه هم منتفی بود که بلافاصله برای همیشه جواب رد بدهد	even the more simple sublimity of resolving to refuse him at once and for ever
من اجازه نخواهم داد که ماجرا به این شکل پایان یابد.	I won't let it end like this.
سعی کرد که قصد بانوی سالخورده را درک کند.	trying to grasp the old lady's meaning
روزنامه را از کنار میز برداشت	he picked up the paper.
کمی تحت تاثیر قرار گرفته بود.	feeling a little overcome.
چند ذره از آن غبار بر روی ما نشست و سبب شد که ما باهم چندین بار عطسه زنیم.	some part whereof flying up to our faces set us both a sneezing for several times together.
شاید این دختر نازنین برای همیشه از دست برود.	she might be required to sink herself forever.
با دشنامی تهدیدآمیز فرمانم داد	he ordered me in with an oath
زیرا زمامداران کلیسا بر خطایند.	for he knew that the authorities were wrong.
راه حل مهمی که باید بر طبق آن عمل شود	which is such that I have made it my law of action.
کلاید به راستی اسیر شده بود.	so truly was he captivated.
باید در همچو لاکی بخزم و خودم را زنده نگه دارم.	that is the sort of shell I must creep into and try to keep my soul alive in.
صدایش از استرس و ترس خشک و گرفته بود.او پرسید	she asked, her voice rough with stress and fear.
آهسته به قوت زانو برخاستم	I raised myself gently upon my knees
با این حال تمام شواهد و قرائن موجود از جرم او حکایت کنند.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.
بلافاصله این افکار را در ذهنم گرداندم و شعر ساختم.	I immediately turned this thought over in my head, creating lyrics.
با این گمان که مدال از طلای ناب خواهد بود.	thinking that it was a medal of solid gold
ولی خیلی برایشان احساس تأسف کردم	but I felt so sorry for them
جغدی با صدای گور آسایش جواب داد.	an owl answered with his sepulchral note.
این او را با نهایت احترام و ادب پذیرفت.	who received him with great civility.
من زندگی را زیاد دوست دارم. بدبختی همین است.	I've loved life too much, shamefully much.
اما در حالی که روی دستها و زانوانشان میخزیدند و از لا به لای بوته ها پیش می آمدند و سرانجام با شلیک همزمان تفنگهایشان حضور خود را اعلام کردند و پس از آن شلیکها نیز بسیاری از سربازان از روی زین اسبها به زیر افتادند.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.
شوالیه با تمام نیرویش آن را کشید	though he pulled with all his might
مانند ژیمناستیک کاری که به این کار فادت دارد	like a man accustomed to that kind of gymnastic exercise
خدمتکاری از پشت صندلی خم شده و شمع مومی را در میان شست و انگشت سبابه راست بیمار نگه داشته بود.	a wax taper had been thrust between forefinger and thumb, and an old servant, bending over from behind the chair, held it in position.
به طنین صدای پای زمان گوش فرامی داد.	listening to the echoing footsteps of years.
با حال و هوایی جدی و موقرانه وارد شده بود با کتی مشکی و چروک که دکمه هایش تا زیر ریش پر پشت و قهوه ای رنگش بسته شده بود.	had entered solemnly, in a black creased coat buttoned up under his spreading brown beard.
واقعا بد بختی باورنکردنی است	what incomprehensible misfortune
از سرسرا با این انگیزه مقاومت ناپذیر گذشت که برود	hurrying along the corridor, with the irresistible impulse to go
من فقط باید این خانم را ببینم.	I must see the lady.
اول آن را با یک دست و بعد با هر دو دستش گرفت.	he took it first in one, them in both his own.
به نظر توهم آدم بدرد بخوریه	he struck you as being pretty handy.
اما سوسک از دسترس او دور بود.	but it was safe out of his reach.
همه تون باید بتون ین اون تو رو ببین ین.	make sure yeh can see' now
تمام آمال و آرزوهایم بر باد رفت.	I have lost all my illusions.
صاحبانشان یا مرده بودند و یا فرار کرده بودند.	all of them silent now, their owners dead or fled.
به زودی این منفذ کوچک به صورت راهی برای عبور آماده شد.	it soon stood wide open also.
با قطعیتی ناگهانی و دلسرد کننده فهمیدم که این آخرین سال من است.	I knew with sudden, chilling certainty that this was my last year.
با در نظر گرفتن این نکته که آن ضربه سهوی آلوده به خشمی زائیده نفرت از ربرتا بود	the fact that theunintentional blow still had had anger in it angry dissatisfactionwith her really
پس ده نم را بسته نگه داشتم.	I kept my mouth shut.
ما فعلاً همان جایی هستیم که ایستاده بودیم.	we're still where we were.
فوراً فهمیدم که این کلید مال کجا بود د	I knew immediately what this key was to
زیرا این مقصر غریبی است و مستوجب قتل است	he must be a great criminal
پس تو می تونی راهتو بگیری و بری و منو تنها بذاری.	so you can get the hell away from here and leave me alone.
ولی کسی جرأت دخالت در کار را نداشت.	but nobody dared to interfere.
یا اینکه ناخدا سرش را خواهد شکست	or knocked on the head
آنسلم تا حین غروب آفتاب در آنجا ماند.	there he remained till nearly nightfall
